Page_ID,Title,Section,Lesson,Lesson_Number,Page_in_Lesson,Total_Pages_in_Lesson,Is_First_Page,Is_Last_Page,Lesson_URL,Content_Type
1,Welcome,,,0.0,1.0,1.0,True,True,lesson00/00_001.htm,Welcome
2,Section 1: Introduction (Lesson 1),Section 1,Lesson 1,1.0,1.0,16.0,True,False,lesson01/01_001.htm,Introduction
3,Section 1: Introduction (Lesson 1) - Page 2,Section 1,Lesson 1,1.0,2.0,16.0,False,False,,Educational Content
4,Section 1: Introduction (Lesson 1) - Page 3,Section 1,Lesson 1,1.0,3.0,16.0,False,False,,Educational Content
5,Section 1: Introduction (Lesson 1) - Page 4,Section 1,Lesson 1,1.0,4.0,16.0,False,False,,Educational Content
6,Section 1: Introduction (Lesson 1) - Page 5,Section 1,Lesson 1,1.0,5.0,16.0,False,False,,Educational Content
7,Section 1: Introduction (Lesson 1) - Page 6,Section 1,Lesson 1,1.0,6.0,16.0,False,False,,Educational Content
8,Section 1: Introduction (Lesson 1) - Page 7,Section 1,Lesson 1,1.0,7.0,16.0,False,False,,Educational Content
9,Section 1: Introduction (Lesson 1) - Page 8,Section 1,Lesson 1,1.0,8.0,16.0,False,False,,Educational Content
10,Section 1: Introduction (Lesson 1) - Page 9,Section 1,Lesson 1,1.0,9.0,16.0,False,False,,Educational Content
11,Section 1: Introduction (Lesson 1) - Page 10,Section 1,Lesson 1,1.0,10.0,16.0,False,False,,Educational Content
12,Section 1: Introduction (Lesson 1) - Page 11,Section 1,Lesson 1,1.0,11.0,16.0,False,False,,Educational Content
13,Section 1: Introduction (Lesson 1) - Page 12,Section 1,Lesson 1,1.0,12.0,16.0,False,False,,Educational Content
14,Section 1: Introduction (Lesson 1) - Page 13,Section 1,Lesson 1,1.0,13.0,16.0,False,False,,Educational Content
15,Section 1: Introduction (Lesson 1) - Page 14,Section 1,Lesson 1,1.0,14.0,16.0,False,False,,Educational Content
16,Section 1: Introduction (Lesson 1) - Page 15,Section 1,Lesson 1,1.0,15.0,16.0,False,False,,Educational Content
17,Section 1: Introduction (Lesson 1) - Summary,Section 1,Lesson 1,1.0,16.0,16.0,False,True,,Lesson Summary
18,Section 1: Introduction (Lesson 1),Section 1,Lesson 1,1.0,1.0,16.0,True,False,lesson01/01_001.htm,Introduction
19,Section 1: Introduction (Lesson 1) - Page 2,Section 1,Lesson 1,1.0,2.0,16.0,False,False,,Educational Content
20,Section 1: Introduction (Lesson 1) - Page 3,Section 1,Lesson 1,1.0,3.0,16.0,False,False,,Educational Content
21,Section 1: Introduction (Lesson 1) - Page 4,Section 1,Lesson 1,1.0,4.0,16.0,False,False,,Educational Content
22,Section 1: Introduction (Lesson 1) - Page 5,Section 1,Lesson 1,1.0,5.0,16.0,False,False,,Educational Content
23,Section 1: Introduction (Lesson 1) - Page 6,Section 1,Lesson 1,1.0,6.0,16.0,False,False,,Educational Content
24,Section 1: Introduction (Lesson 1) - Page 7,Section 1,Lesson 1,1.0,7.0,16.0,False,False,,Educational Content
25,Section 1: Introduction (Lesson 1) - Page 8,Section 1,Lesson 1,1.0,8.0,16.0,False,False,,Educational Content
